band	seq	mark	kept	value	connectdegree	connectborder	top	bottom	left	right
high	11	shadda.a	False	0.8667267	0.0	4	0		2879	2897	588	604
high	11	shadda.a	False	0.86833143	0.0	4	0		3999	4017	1289	1305
high	11	shadda.a	False	0.86904436	0.0	4	0		2346	2364	2115	2131
high	11	shadda.a	False	0.8750611	0.0	4	0		4178	4196	1235	1251
high	11	shadda.a	False	0.8775586	0.0	4	0		3443	3461	387	403
high	11	shadda.a	False	0.8780509	0.0	4	0		3047	3065	2001	2017
high	11	shadda.a	False	0.87825567	0.0	4	0		3054	3072	2171	2187
high	11	shadda.a	False	0.8797353	0.0	4	0		305	323	2335	2351
high	11	shadda.a	False	0.8803079	0.0	4	0		3816	3834	1367	1383
high	11	shadda.a	False	0.8816033	0.0	4	0		2342	2360	1201	1217
high	11	shadda.a	False	0.8818183	0.0	4	0		2515	2533	1350	1366
high	11	shadda.a	False	0.8822627	0.0	4	0		2171	2189	1133	1149
high	11	shadda.a	False	0.8859884	0.05555555555555555	4	0		4168	4186	467	483
high	11	shadda.a	False	0.8900552	0.0	4	0		3645	3663	1664	1680
high	11	shadda.a	False	0.9050345	0.0	4	0		3063	3081	1786	1802
high	11	shadda.a	True	0.8020272	0.5	4	0		673	691	2341	2357
high	11	shadda.a	True	0.80212647	0.5555555555555556	4	0		491	509	1339	1355
high	11	shadda.a	True	0.8045744	0.5555555555555556	4	0		3635	3653	667	683
high	11	shadda.a	True	0.8099769	0.5555555555555556	4	0		2344	2362	1764	1780
high	11	shadda.a	True	0.8115473	0.5	4	0		4183	4201	1427	1443
high	11	shadda.a	True	0.8128661	0.5	4	0		3639	3657	1335	1351
high	11	shadda.a	True	0.81435233	0.5555555555555556	4	0		3270	3288	1098	1114
high	11	shadda.a	True	0.8167848	0.5555555555555556	4	0		493	511	1068	1084
high	11	shadda.a	True	0.81716317	0.5	4	0		4179	4197	502	518
high	11	shadda.a	True	0.8182936	0.5555555555555556	4	0		314	332	1052	1068
high	11	shadda.a	True	0.8191587	0.5555555555555556	4	0		3646	3664	1926	1942
high	11	shadda.a	True	0.82013786	0.5	4	0		2879	2897	2251	2267
