band	seq	mark	kept	value	connectdegree	connectborder	top	bottom	left	right
mid	19	comma	True	0.6113	0.39167862266857967	4	871	912	581	598
mid	19	comma	True	0.614583	0.43902439024390244	4	1403	1444	491	508
mid	19	comma	True	0.6191196	0.12195121951219512	4	222	263	1476	1493
mid	19	comma	True	0.6196242	0.14634146341463414	4	1029	1070	1411	1428
mid	19	comma	True	0.62042725	0.9383070301291248	4	1632	1673	499	516
mid	19	comma	True	0.62056524	0.44476327116212344	4	1636	1677	402	419
mid	19	comma	True	0.62322986	0.44045911047345765	4	1032	1073	861	878
mid	19	comma	True	0.624198	0.3170731707317073	4	1715	1756	219	236
mid	19	comma	True	0.62751836	0.14634146341463414	4	789	830	668	685
mid	19	comma	True	0.62947637	0.44045911047345765	4	709	750	1006	1023
mid	19	comma	True	0.6304802	0.3902439024390244	4	386	427	1008	1025
mid	19	comma	True	0.6306299	0.12195121951219512	4	1713	1754	406	423
mid	19	comma	True	0.63112414	0.24390243902439024	4	308	349	917	934
mid	19	comma	True	0.6322898	0.12195121951219512	4	1795	1836	401	418
mid	19	comma	True	0.6323491	0.4505021520803444	4	1110	1151	1507	1524
mid	19	comma	True	0.6330903	0.3902439024390244	4	1403	1444	592	609
mid	19	comma	True	0.63415	0.17647058823529413	4	322	363	268	285
mid	19	comma	True	0.6342877	0.14634146341463414	4	386	427	525	542
mid	19	comma	True	0.63472396	0.2682926829268293	4	309	350	411	428
mid	19	comma	True	0.63594294	0.14634146341463414	4	1633	1674	254	271
mid	19	comma	True	0.63829076	0.12195121951219512	4	1793	1834	1168	1185
mid	19	comma	True	0.6400795	0.3414634146341463	4	1407	1448	529	546
mid	19	comma	True	0.64149505	0.12195121951219512	4	1794	1835	317	334
mid	19	comma	True	0.6415601	0.12195121951219512	4	1712	1753	782	799
mid	19	comma	True	0.6438514	0.14634146341463417	4	1793	1834	558	575
mid	19	comma	True	0.6445043	0.21951219512195122	4	1555	1596	881	898
mid	19	comma	True	0.64471656	0.2926829268292683	4	388	429	483	500
mid	19	comma	True	0.64521873	0.12195121951219512	4	1714	1755	293	310
mid	19	comma	True	0.64523274	0.12195121951219512	4	1712	1753	962	979
mid	19	comma	True	0.6457441	0.4246771879483501	4	1402	1443	824	841
mid	19	comma	True	0.6461896	0.4505021520803444	4	1795	1836	606	623
mid	19	comma	True	0.646671	0.14634146341463417	4	1112	1153	957	974
mid	19	comma	True	0.64851075	0.33285509325681495	4	1714	1755	724	741
mid	19	comma	True	0.6528186	0.2152080344332855	4	1633	1674	1031	1048
mid	19	comma	True	0.65358615	0.24390243902439024	4	1402	1443	912	929
mid	19	comma	True	0.65860915	0.12195121951219512	4	1551	1592	1117	1134
mid	19	comma	True	0.66656744	0.19081779053084647	4	306	347	750	767
mid	19	comma	True	0.6692026	0.2984218077474893	4	307	348	427	444
mid	19	comma	True	0.6699058	0.3084648493543759	4	1033	1074	687	704
mid	19	comma	True	0.6700529	0.21951219512195122	4	1036	1077	415	432
mid	19	comma	True	0.67583686	0.3902439024390244	4	710	751	773	790
mid	19	comma	True	0.6762415	0.2682926829268293	4	1633	1674	1352	1369
mid	19	comma	True	0.67889076	0.1951219512195122	4	1635	1676	828	845
mid	19	comma	True	0.6800662	0.12195121951219512	4	1634	1675	374	391
mid	19	comma	True	0.68262374	0.17073170731707316	4	789	830	1151	1168
mid	19	comma	True	0.6844277	0.21951219512195122	4	227	268	898	915
mid	19	comma	True	0.68714696	0.12195121951219512	4	1633	1674	557	574
mid	19	comma	True	0.6918888	0.12195121951219512	4	1711	1752	1380	1397
mid	19	comma	True	0.6919727	0.12195121951219512	4	1632	1673	779	796
mid	19	comma	True	0.69475204	0.14634146341463414	4	1114	1155	462	479
mid	19	comma	True	0.69478834	0.12195121951219512	4	223	264	1372	1389
mid	19	comma	True	0.6970497	0.17073170731707318	4	1792	1833	1510	1527
mid	19	comma	True	0.7038902	0.17073170731707316	4	226	267	1009	1026
mid	19	comma	True	0.7096928	0.14634146341463414	4	1715	1756	264	281
mid	19	comma	True	0.710677	0.14634146341463414	4	306	347	829	846
mid	19	comma	True	0.71264887	0.14634146341463414	4	1113	1154	675	692
mid	19	comma	True	0.7144139	0.12195121951219512	4	223	264	1438	1455
mid	19	comma	True	0.72003156	0.14634146341463414	4	1035	1076	1011	1028
mid	20	guillemetClose	False	0.85032874	0.02127659574468085	4	1621	1668	176	196
mid	23	semicolon	False	0.81173277	0.0	4	1627	1675	177	195
mid	23	semicolon	False	0.8259407	0.0	4	1789	1837	636	654
mid	23	semicolon	False	0.9511543	0.0	4	298	346	463	481
