band	seq	mark	kept	value	connectdegree	connectborder	top	bottom	left	right
high	1	a	True	0.8027749	0.38095238095238093	4	1	l	1988	2001	476	497
high	1	a	True	0.81442916	0.48717948717948717	4	1	r	846	859	976	997
high	1	a	True	0.82113147	0.39194139194139194	4	1	r	967	980	863	884
high	1	a	True	0.82826376	0.315018315018315	4	1	r	1927	1940	996	1017
high	1	a	True	0.8349038	0.38095238095238093	4	1	r	1318	1331	1066	1087
high	1	a	True	0.84098655	0.38095238095238093	4	1	r	1319	1332	833	854
high	1	a	True	0.84352183	0.3333333333333333	4	1	r	1866	1879	1152	1173
high	1	a	True	0.8444044	0.45787545787545786	4	1	l	1114	1127	484	505
high	1	a	True	0.8586569	0.2857142857142857	4	1	l	1173	1186	688	709
high	1	a	True	0.8837415	0.2857142857142857	4	1	l	1723	1736	226	247
