band	seq	mark	kept	value	connectdegree	connectborder	top	bottom	left	right
high	1	a	True	0.83885705	0.3333333333333333	4	502	515	961	982
high	1	a	True	0.85462636	0.42857142857142855	4	1719	1732	829	850
high	1	a	True	0.86987764	0.38095238095238093	4	1914	1927	930	951
high	1	a	True	0.8737981	0.5164835164835164	4	1035	1048	857	878
mid	19	comma	False	0.603837	0.0	4	1525	1566	248	265
mid	19	comma	False	0.6055007	0.04878048780487805	4	685	726	1263	1280
mid	19	comma	False	0.6175803	0.0	4	1365	1406	1283	1300
mid	19	comma	False	0.6231754	0.0	4	623	664	432	449
mid	19	comma	False	0.6232092	0.04878048780487805	4	566	607	191	208
mid	19	comma	False	0.6308574	0.024390243902439025	4	1474	1515	895	912
mid	19	comma	False	0.6321179	0.04878048780487805	4	739	780	1100	1117
mid	19	comma	False	0.6530949	0.07317073170731707	4	1419	1460	391	408
mid	19	comma	False	0.6544438	0.0	4	1477	1518	878	895
mid	19	comma	True	0.60250103	0.1951219512195122	4	1480	1521	368	385
mid	19	comma	True	0.603743	0.1951219512195122	4	1532	1573	1276	1293
mid	19	comma	True	0.6196762	0.14634146341463414	4	878	919	898	915
mid	19	comma	True	0.63327736	0.1951219512195122	4	1533	1574	665	682
mid	19	comma	True	0.73062223	0.3902439024390244	4	958	999	994	1011
